Date,EmployeeName,Plan,PolicyNumber,Premium
01-05-2023,John Doe,Gold,AB-12345,150.00
02-05-2023,Jane Smith,Silver,CD-67890,100.00
03-05-2023,Michael Brown,Bronze,EF-10111,50.00
04-05-2023,Alice Johnson,Gold,GH-12121,150.00
05-05-2023,Bob Wilson,Silver,IJ-13131,100.00
06-05-2023,Carol Martinez,Bronze,KL-14141,50.00
07-05-2023,David Anderson,Gold,MN-15151,150.00
08-05-2023,Eva Thomas,Silver,OP-16161,100.00
09-05-2023,Frank Jackson,Bronze,QR-17171,50.00
10-05-2023,Grace White,Gold,ST-18181,150.00
